income_monthly,credit_score,debt_to_income,employment_years,loan_amount,prior_defaults,target
183.46,826.0,91.27,12.31,316.64,5,0
210.1,664.0,93.23,6.05,122.07,2,1
58.07,594.0,277.85,1.05,170.48,4,0
165.98,724.0,97.53,0.0,146.82,2,1
77.82,600.0,39.69,8.24,213.94,3,0
50.12,725.0,352.42,3.55,122.21,1,0
40.77,695.0,125.73,5.39,637.47,1,1
141.93,624.0,126.37,4.98,305.24,1,1
304.53,690.0,91.85,5.76,97.28,5,1
419.58,610.0,11.45,7.38,59.06,1,1
44.0,791.0,106.72,10.44,374.97,3,0
285.46,598.0,86.8,10.07,107.48,4,0
172.49,703.0,201.28,7.65,50.94,3,0
113.08,658.0,158.16,5.2,334.25,4,0
251.0,665.0,108.81,9.54,56.63,0,0
105.64,583.0,120.51,6.09,106.65,3,0
120.46,664.0,174.18,6.83,67.02,3,0
163.54,651.0,59.62,2.33,142.35,3,0
160.09,725.0,139.72,5.47,187.39,6,1
103.43,751.0,112.42,4.63,126.78,2,1
116.5,682.0,146.09,17.41,82.38,3,0
149.43,572.0,389.65,2.32,169.39,1,1
322.59,592.0,551.5,2.28,249.5,5,1
44.04,591.0,171.21,0.0,341.74,4,0
102.43,706.0,467.08,6.42,166.17,2,0
260.51,708.0,68.03,3.7,40.12,5,0
217.63,628.0,98.24,7.52,235.22,2,0
91.64,690.0,161.12,5.08,201.41,1,1
224.3,647.0,156.18,8.37,149.91,2,1
72.41,686.0,244.47,0.0,83.86,4,0
178.94,673.0,201.02,6.1,107.82,1,1
378.74,730.0,284.96,9.05,305.41,2,1
47.23,686.0,59.41,3.23,199.2,2,0
196.23,692.0,434.14,6.76,112.29,3,0
238.74,578.0,265.81,5.95,63.57,4,0
67.26,620.0,53.4,7.42,297.58,3,0
204.08,662.0,85.34,2.91,72.19,2,1
181.89,570.0,85.85,4.98,311.81,2,1
161.91,697.0,142.48,0.0,108.23,1,0
171.08,850.0,74.46,1.25,105.47,3,0
100.88,684.0,121.48,8.8,253.08,7,0
128.87,703.0,264.01,1.12,133.4,2,1
191.37,748.0,104.19,13.58,108.75,5,0
352.96,741.0,113.65,5.86,266.95,3,0
259.28,776.0,41.79,3.24,112.61,3,0
342.23,720.0,540.8,9.25,32.8,1,1
235.02,676.0,116.13,2.36,250.35,3,1
202.21,687.0,158.27,3.25,168.24,4,1
215.89,669.0,96.83,6.65,73.42,1,1
455.93,651.0,121.49,1.76,67.64,4,1
78.72,815.0,147.75,0.74,57.58,2,1
159.51,708.0,61.59,5.46,135.32,4,0
295.57,709.0,308.68,9.9,183.37,2,0
418.36,654.0,117.91,3.22,413.07,4,1
373.03,776.0,335.15,2.96,296.11,2,0
139.71,713.0,126.75,3.31,811.87,5,1
161.51,587.0,440.93,9.49,84.62,4,1
340.27,792.0,274.19,7.07,224.2,2,1
359.22,604.0,252.78,4.32,317.86,4,1
131.31,558.0,123.33,9.22,88.6,5,0
157.84,679.0,345.91,8.2,154.96,2,0
318.7,675.0,303.2,0.0,206.43,2,1
324.55,696.0,398.73,6.21,169.53,5,1
215.13,661.0,100.48,5.11,27.13,4,1
171.48,710.0,304.84,0.0,167.65,6,1
389.84,725.0,268.71,0.0,43.16,4,1
292.15,798.0,569.89,14.57,102.02,0,1
56.72,820.0,166.44,6.6,190.4,6,0
69.93,562.0,62.4,7.55,98.22,3,0
94.37,598.0,102.08,6.47,329.49,2,0
92.86,798.0,105.66,7.53,120.43,2,0
62.35,638.0,73.72,4.51,308.38,0,1
